File,Dates,Term
GeorgeWashington,4/30/1789,1
GeorgeWashington,3/4/1793,2
JohnAdams,3/4/1797,1
ThomasJefferson,3/4/1801,1
ThomasJefferson,3/4/1805,2
JamesMadison,3/4/1809,1
JamesMadison,3/4/1813,2
JamesMonroe,3/4/1817,1
JamesMonroe,3/5/1821,2
JohnQuincyAdams,3/4/1825,1
AndrewJackson,3/4/1829,1
AndrewJackson,3/4/1833,2
MartinvanBuren,3/4/1837,1
WilliamHenryHarrison,4/6/1841,1
JamesKPolk,3/4/1845,1
ZacharyTaylor,3/5/1849,1
FranklinPierce,3/4/1853,1
JamesBuchanan,3/4/1857,1
AbrahamLincoln,3/4/1861,1
AbrahamLincoln,3/4/1865,2
UlyssesSGrant,3/4/1869,1
UlyssesSGrant,3/4/1873,2
RutherfordBHayes,3/5/1877,1
JamesGarfield,3/4/1881,1
GroverCleveland-I,3/4/1885,1
BenjaminHarrison,3/4/1889,1
GroverCleveland-II,3/4/1893,2
WilliamMcKinley,3/4/1897,1
WilliamMcKinley,3/4/1901,2
TheodoreRoosevelt,3/4/1905,1
WilliamHowardTaft,3/4/1909,1
WoodrowWilson,3/4/1913,1
WoodrowWilson,3/5/1917,2
WarrenGHarding,3/4/1921,1
CalvinCoolidge,3/4/1925,1
HerbertHoover,3/4/1929,1
FranklinDRoosevelt,3/4/1933,1
FranklinDRoosevelt,1/20/1937,2
FranklinDRoosevelt,1/20/1941,3
FranklinDRoosevelt,1/20/1945,4
HarrySTruman,1/20/1949,1
DwightDEisenhower,1/20/1953,1
DwightDEisenhower,1/21/1957,2
JohnFKennedy,1/20/1961,1
LyndonBJohnson,1/20/1965,1
RichardNixon,1/20/1969,1
RichardNixon,1/20/1973,2
JimmyCarter,1/20/1977,1
RonaldReagan,1/20/1981,1
RonaldReagan,1/21/1985,2
GeorgeBush,1/20/1989,1
WilliamJClinton,1/20/1993,1
WilliamJClinton,1/20/1997,2
GeorgeWBush,1/20/2001,1
GeorgeWBush,1/20/2005,2
BarackObama,1/20/2009,1
BarackObama,1/21/2013,2
DonaldJTrump,1/20/2017,1
